fl,tl,TL - FL,w,pit,sx,d,m,y,site,,,,,,,,,,,,,,,,,
256,282,26,193,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
245,282,37,236,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
260,300,40,286,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
220,251,31,125,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
221,254,33,151,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
245,260,15,229,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
239,274,35,153,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
230,266,36,156,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
215,245,30,146,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
221,252,31,158,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
238,273,35,156,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
254,288,34,184,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
221,252,31,165,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
215,246,31,146,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
214,248,34,152,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
219,249,30,126,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
233,272,39,165,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
208,241,33,151,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
225,258,33,128,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
253,287,34,177,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
210,241,31,117,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
244,281,37,190,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
219,252,33,132,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
253,291,38,194,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
248,281,33,183,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
218,249,31,117,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
251,289,38,173,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
215,246,31,123,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
253,290,37,172,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
240,275,35,216,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
263,300,37,218,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
223,258,35,150,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
227,264,37,166,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
217,248,31,146,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
226,260,34,142,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
265,305,40,226,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
249,283,34,144,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
215,248,33,149,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
219,249,30,128,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
243,279,36,241,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
203,234,31,133,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
237,270,33,148,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
220,250,30,164,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
228,253,25,139,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
205,234,29,126,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
234,272,38,149,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
237,274,37,161,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
239,275,36,151,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
214,245,31,148,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
267,305,38,222,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
247,284,37,252,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
220,251,31,123,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
239,275,36,158,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
250,290,40,187,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
258,296,38,197,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
217,250,33,127,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
236,264,28,161,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
255,290,35,184,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
234,269,35,155,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
213,243,30,149,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
215,247,32,172,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
254,289,35,235,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
235,267,32,190,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
226,253,27,159,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
224,257,33,143,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
266,300,34,197,9.00228E+14,f,2,6,2017,cbcl,,,,,,,,,,,,,,,,,
